Analyzing miko...

  error - lib/llm/llm_dart.dart:87:36 - The argument type 'String' can't be assigned to the parameter type 'int'.  - argument_type_not_assignable
  error - lib/llm/llm_dart.dart:88:37 - The argument type 'String' can't be assigned to the parameter type 'int'.  - argument_type_not_assignable
  error - lib/llm/llm_dart.dart:89:41 - The argument type 'String' can't be assigned to the parameter type 'int'.  - argument_type_not_assignable
  error - lib/llm/llm_dart.dart:90:43 - The argument type 'String' can't be assigned to the parameter type 'int'.  - argument_type_not_assignable
  error - lib/llm/llm_dart.dart:104:38 - The method 'tool' isn't defined for the type 'ChatMessage'. Try correcting the name to the name of an existing method, or defining a method named 'tool'. - undefined_method
  error - lib/llm/llm_dart.dart:108:38 - The method 'tool' isn't defined for the type 'ChatMessage'. Try correcting the name to the name of an existing method, or defining a method named 'tool'. - undefined_method
  error - lib/llm/llm_dart.dart:113:36 - The method 'tool' isn't defined for the type 'ChatMessage'. Try correcting the name to the name of an existing method, or defining a method named 'tool'. - undefined_method
warning - lib/llm/llm_dart.dart:5:8 - Unused import: 'dart:io'. Try removing the import directive. - unused_import
warning - lib/llm/llm_dart.dart:108:62 - The '!' will have no effect because the receiver can't be null. Try removing the '!' operator. - unnecessary_non_null_assertion
warning - lib/llm/llm_dart.dart:113:60 - The '!' will have no effect because the receiver can't be null. Try removing the '!' operator. - unnecessary_non_null_assertion
warning - lib/main.dart:1:8 - Unused import: 'dart:io'. Try removing the import directive. - unused_import
warning - lib/main.dart:3:8 - Unused import: 'package:audio_service/audio_service.dart'. Try removing the import directive. - unused_import
warning - lib/main.dart:75:7 - The declaration '_router' isn't referenced. Try removing the declaration of '_router'. - unused_element
warning - lib/models/tmdb/movies_model.dart:121:3 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/movies_model.dart:122:3 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/movies_model.dart:124:3 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/movies_model.dart:127:3 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/movies_model.dart:128:3 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/movies_model.dart:131:3 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/movies_model.dart:132:3 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/movies_model.dart:133:3 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/movies_model.dart:136:3 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/movies_model.dart:138:3 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/movies_model.dart:140:3 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/movies_model.dart:142:3 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/movies_model.dart:144:3 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/movies_model.dart:146:3 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/movies_model.dart:149:3 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/series_model.dart:88:3 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/series_model.dart:91:3 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/series_model.dart:92:3 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/series_model.dart:94:3 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/series_model.dart:96:3 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
warning - lib/models/tmdb/series_model.dart:98:3 - The annotation 'JsonKey.new' can only be used on fields or getters. - invalid_annotation_target
