id,name,status,first_air_date,episode_run_time,overview,vote_average,vote_count,genres,keywords,original_name,poster_path,backdrop_path,popularity,original_language,type,number_of_episodes,number_of_seasons,homepage,networks,created_by,last_episode_to_air,Cast_Summary,Crew_Summary,Video_Summary,source_series_name
46298,Hunter x Hunter,Ended,2011-10-02,24,"To fulfill his dreams of becoming a legendary Hunter like his dad, a young boy must pass a rigorous examination and find his missing father.",8.668,1904,"Animation, Action & Adventure, Sci-Fi & Fantasy","martial arts, bounty hunter, virtual reality, training, friendship, remake, revenge, organized crime, tragedy, coming of age, tournament, bromance, based on manga, fighting, super power, death match, mutilation, shounen, anime, fantasy, adventure, admiring",HUNTER×HUNTER,/i2EEr2uBvRlAwJ8d8zTG2Y19mIa.jpg,/6U0e6OHklJAcMAuIoGXjTBS5zsI.jpg,67.4784,ja,Scripted,148,3,https://www.ntv.co.jp/hunterhunter/sphone/,Nippon TV,,Past x And x Future,"Megumi Han, Mariya Ise, Issei Futamata, Miyuki Sawashiro, Keiji Fujiwara","Akira Shinohara (Producer), Toshio Nakatani (Producer), Naoki Iwasa (Producer)",Official Extended Trailer,hunter x hunter
81821,100 Days My Prince,Ended,2018-09-10,75,"Lee Yool falls off a cliff and nearly dies in an attempted assassination. He loses his memory, and wanders for 100 days under a new name and personality. During this period, he meets Hong Sim, head of the first detective agency in Joseon.",7.906,165,"Comedy, Drama, Mystery","amnesia, marriage of convenience, romance, historical, double identity, joseon dynasty (1392–1910), ancient korea",백일의 낭군님,/5GoF6fZGqEycUqgcCNmBCN3OdWM.jpg,/qK4wHkIaq2qnJs1iOUJES8wDY5X.jpg,19.1792,ko,Scripted,16,1,http://program.tving.com/tvn/100daysmyprince/,tvN,"Lee Jong-jae, So Jae-hyun",The End of War between Crown Prince and Vice-Premier,"Doh Kyung-soo, Nam Ji-hyun, Cho Seong-ha, Cho Han-cheul, Oh Yeon-ah","Noh Ji-sul (Writer), Lee Jong-jae (Director), Chen (Theme Song Performance)",100 Days My Prince | Trailer,100 days my prince
64464,11.22.63,Ended,2016-02-15,81,"An English teacher travels back in time to prevent the Kennedy assassination, but discovers he is attached to the life he has made in a bygone era.",7.767,1581,"Drama, Sci-Fi & Fantasy","assassination, lovesickness, based on novel or book, time travel, murder, miniseries, alternate history, john f. kennedy assassination, mysterious",11.22.63,/1fH41ccMKvgDTbbcCxWWH6fznah.jpg,/qVBExiGdG8uiPK9BcWD0881u8uh.jpg,36.5222,en,Miniseries,8,1,http://www.hulu.com/112263,Hulu,,The Day in Question,"James Franco, Sarah Gadon, Chris Cooper, Daniel Webber, Lucy Fry","Joseph Boccia (Producer), James Franco (Producer), Joe Henderson (Consulting Producer)",11.22.63 - Official Hulu Trailer [HD] | Cinetext®,11 22 63
60948,12 Monkeys,Ended,2015-01-16,43,"The provocative story of Cole, a time traveler from a decimated future in a high-stakes race against the clock. Utilizing a dangerous and untested method of time travel, he journeys from 2043 to the present day on a mission to locate and eradicate the source of a deadly plague that will all but annihilate the human race.",7.394,1107,"Sci-Fi & Fantasy, Drama","time travel, post-apocalyptic future, based on movie, plague",12 Monkeys,/w5u1PqBYfDyfrlkxADTA38jYG3I.jpg,/rgBEfR1A9JVBvoc0xUWv73o4M1M.jpg,48.2767,en,Scripted,47,4,https://www.syfy.com/12-monkeys,Syfy,"Terry Matalas, Travis Fickett",The Beginning (2),"Aaron Stanford, Amanda Schull, Barbara Sukowa, Emily Hampshire, Alisen Down","Nathaniel Smith (Co-Producer), Sean Tretta (Producer), Richard Suckle (Executive Producer)",Opening Credits,12 monkeys
66788,13 Reasons Why,Ended,2017-03-31,0,"After a teenage girl's perplexing suicide, a classmate receives a series of tapes that unravel the mystery of her tragic choice.",7.573,4335,"Drama, Mystery","suicide, rape, sexual abuse, based on novel or book, depression, loss, high school, sodomy, bullying, sexual violence, guilt, mental illness, mental health, classmate, child molestation, audio cassette, sexual assault, amateur sleuth, based on young adult novel, hiv/aids epidemic, melodrama, gang solves mystery",13 Reasons Why,/nel144y4dIOdFFid6twN5mAX9Yd.jpg,/c4CSgKL6QfkJxsWcGYDyTxpbzpW.jpg,54.784,en,Scripted,49,4,https://www.netflix.com/title/80117470,Netflix,Brian Yorkey,Graduation,"Dylan Minnette, Grace Saif, Christian Navarro, Alisha Boe, Brandon Flynn","Allen MacDonald (Executive Producer), Jane Bartelme (Producer), Brian Yorkey (Executive Producer)",13 REASONS WHY Trailer (2017),13 reasons why
99654,18 Again,Ended,2020-09-21,68,"At a difficult place in his marriage and career, a middle-aged man gets a shot at a do-over when he's transformed back into his 18-year-old body.",8.3,242,"Drama, Comedy, Sci-Fi & Fantasy","fake identity, high school, high school sports, based on movie, teenage pregnancy, reflective, father son relationship, father daughter relationship, age change, romantic, earnest, hopeful",18 어게인,/jwrumjdNdtlHRzthQEj9HmxehcR.jpg,/hGtx3dAB6x0ShXpDk4BBvt74Mtx.jpg,8.0544,ko,Scripted,16,1,http://tv.jtbc.joins.com/eighteenagain/,JTBC,Ha Byung-hoon,Life Goes On,"Lee Do-hyun, Kim Ha-neul, Yoon Sang-hyun, Roh Jeong-eui, Ryeoun","Ha Byung-hoon (Director), Kim Do-yeon (Writer), Choi Yi-ryun (Writer)",18 Again Korean Drama 2020 - Trailer #1 [ENG SUB],18 again
118357,1883,Ended,2021-12-19,0,"Follow the Dutton family as they embark on a journey west through the Great Plains toward the last bastion of untamed America. A stark retelling of Western expansion, and an intense study of one family fleeing poverty to seek a better future in America’s promised land — Montana.",8.277,772,"Drama, Western","frontier, miniseries, family drama, convoy, wild west, indian attack, civil war veteran, wagon, journey, 19th century, oregon trail, dramatic, 1880s",1883,/waLbm384SQDwLTCn6ttPqQS5kfV.jpg,/uQUHCqxHsG9blvtCoL7vluMG9Jp.jpg,35.2326,en,Miniseries,10,1,https://www.paramountplus.com/shows/1883,Paramount+,Taylor Sheridan,This Is Not Your Heaven,"Sam Elliott, Tim McGraw, Faith Hill, Isabel May, LaMonica Garrett","Haddie Cooke (Executive Producer's Assistant), Nicole Nelch (Location Coordinator), Ben Richardson (Co-Executive Producer)",1883 - The Yellowstone Prequel | Official Trailer | Sky Show,1883
90669,1899,Canceled,2022-11-17,0,"When mysterious events change the course of an immigrant ship headed for New York in 1899, a mind-bending riddle unfolds for its bewildered passengers.",7.5,1362,"Mystery, Drama","sea, immigration, atlantic ocean, ship, dystopia, bermuda triangle, triangle, 19th century, new encounter, old continent, admiring, assertive",1899,/qmpUDEgZawIlDU5HP3IJ9HjnpI3.jpg,/oZMEWCcnFWGdp4W4ICdJgkw1RYf.jpg,27.5831,de,Scripted,8,1,https://www.netflix.com/title/80214497,Netflix,"Baran bo Odar, Jantje Friese",The Key,"Emily Beecham, Andreas Pietschmann, Aneurin Barnard, Isabella Wei, Maciej Musiał","Jantje Friese (Executive Producer), Baran bo Odar (Executive Producer), Benedikt Bothe (Line Producer)",Opening Credits Theme Song,1899
84154,3Below: Tales of Arcadia,Ended,2018-12-21,24,"After crash-landing on Earth, two royal teen aliens on the run struggle to blend in with humans as they evade intergalactic bounty hunters.",7.4,126,"Animation, Family, Comedy, Sci-Fi & Fantasy","based on novel or book, prince, bodyguard, villain, princess, extraterrestrial, alien, fugitive, dark secret, brother sister relationship, tales of arcadia",3Below: Tales of Arcadia,/eWoplw8QJhSGDnhyYCrs9OugdTj.jpg,/smryg5G3vkCImoQsPYrBSByOkOt.jpg,20.8448,en,Scripted,26,2,https://www.netflix.com/title/80179784,Netflix,Guillermo del Toro,"A Glorious End, Part 2","Tatiana Maslany, Frank Welker, Cheryl Hines, Glenn Close, Diego Luna",,3Below: Tales of Arcadia | Official Trailer [HD] | Netflix,3below tales of arcadia
127581,4400,Canceled,2021-10-25,45,"4400 overlooked, undervalued, or otherwise marginalized people who vanished without a trace over the last hundred years are all returned in an instant, having not aged a day and with no memory of what happened to them. As the government races to analyze the potential threat and contain the story, the 4400 themselves must grapple with the fact that they've been returned with a few ""upgrades"", and the increasing likelihood that they were all brought back now for a specific reason.",6.6,232,"Sci-Fi & Fantasy, Drama","time travel, superhuman, missing person, reboot",4400,/nTYDhLtHffPAJKWn2w8sfnYhLwt.jpg,/7wfFmI8VZTgglYEUioAcwikxUAa.jpg,10.2565,en,Scripted,13,1,https://www.cwtv.com/shows/4400,The CW,"Ariana Jackson, Anna Fricke",Present is Prologue,"Brittany Adebumola, Joseph David-Jones, Ireon Roach, TL Thompson, Jaye Ladymore","Ariana Jackson (Executive Producer), Anna Fricke (Executive Producer), Laura Terry (Executive Producer)",,4400
